Time,CPU_Usage,Memory_Usage,Network_Usage,Temperature
09-07-2024 00:00,25,5,62.5,33.52395526
09-07-2024 00:01,25.62392665,5.13873928,66.15357377,34.20139534
09-07-2024 00:02,26.24768193,5.277392196,69.80289246,35.004666
09-07-2024 00:03,26.87109453,5.415872446,73.44370616,34.68373675
09-07-2024 00:04,27.49399326,5.554093843,77.07177534,36.08061095
09-07-2024 00:05,28.11620704,5.691970378,80.68287596,36.86546446
09-07-2024 00:06,28.73756505,5.829416277,84.27280464,37.58005001
09-07-2024 00:07,29.35789669,5.966346062,87.83738381,37.36437247
09-07-2024 00:08,29.97703168,6.102674606,91.37246671,38.6884098
09-07-2024 00:09,30.59480012,6.238317194,94.87394253,38.15318412
09-07-2024 00:10,31.2110325,6.373189579,98.33774136,37.9638022
09-07-2024 00:11,31.82555978,6.50720804,101.7598392,38.98128377
09-07-2024 00:12,32.43821345,6.640289442,105.1362627,39.31864012
09-07-2024 00:13,33.04882555,6.772351287,108.4630942,40.08650592
09-07-2024 00:14,33.65722875,6.903311776,111.7364765,40.36501471
09-07-2024 00:15,34.26325638,7.033089863,114.9526173,40.72453357
09-07-2024 00:16,34.86674249,7.161605308,118.1077942,41.49706928
09-07-2024 00:17,35.4675219,7.288778735,121.1983587,41.1804868
09-07-2024 00:18,36.06543026,7.414531686,124.2207413,42.03943259
09-07-2024 00:19,36.66030406,7.538786672,127.1714553,42.27748786
09-07-2024 00:20,37.25198073,7.661467228,130.0471013,42.55302765
09-07-2024 00:21,37.84029867,7.782497967,132.8443713,42.81386439
09-07-2024 00:22,38.42509728,7.901804626,135.5600528,42.55305519
09-07-2024 00:23,39.00621704,8.019314122,138.1910323,43.39470003
09-07-2024 00:24,39.58349953,8.134954601,140.7342999,43.75037847
09-07-2024 00:25,40.1567875,8.248655484,143.1869521,43.79787717
09-07-2024 00:26,40.7259249,8.360347518,145.5461959,43.78430432
09-07-2024 00:27,41.29075695,8.469962824,147.8093518,44.47874481
09-07-2024 00:28,41.85113016,8.577434941,149.9738576,44.8035296
09-07-2024 00:29,42.40689238,8.682698871,152.037271,44.64253009
09-07-2024 00:30,42.95789288,8.785691126,153.9972726,44.90340657
09-07-2024 00:31,83.50398235,8.886349772,155.8516692,48.77822929
09-07-2024 00:32,80.23850969,8.984614465,157.5983959,49.82968859
09-07-2024 00:33,77.33006857,9.080426501,159.2355191,50.05361982
09-07-2024 00:34,74.74404291,9.173728848,160.7612384,49.47595214
09-07-2024 00:35,85.63629676,9.264466192,162.1738891,50.50530788
09-07-2024 00:36,82.34914177,9.352584968,163.4719441,49.82236265
09-07-2024 00:37,79.41844935,9.438033402,164.6540158,49.24861032
09-07-2024 00:38,76.80961013,9.520761544,165.7188578,50.18843622
09-07-2024 00:39,87.67849507,9.6007213,166.6653665,51.70229251
09-07-2024 00:40,84.3674229,9.677866471,167.492582,50.7375829
09-07-2024 00:41,81.41227223,9.752152777,168.1996898,51.46411634
09-07-2024 00:42,78.77844111,9.823537893,168.7860217,50.39435603
09-07-2024 00:43,76.4346099,9.891981473,169.2510564,51.10026392
09-07-2024 00:44,74.35242917,9.957445183,169.59442,50.00003146
09-07-2024 00:45,72.50623727,10.01989272,169.8158871,48.90273569
09-07-2024 00:46,70.87280478,10.07928985,169.9153802,50.39992534
09-07-2024 00:47,69.43110328,10.13560441,200,52.49524748
09-07-2024 00:48,68.16209617,10.18880635,200,52.06385826
09-07-2024 00:49,52.33337165,10.23886774,200,51.49802045
09-07-2024 00:50,52.76001639,10.28576281,200,50.8598929
09-07-2024 00:51,53.17913229,10.32946792,200,50.64441007
09-07-2024 00:52,53.59060993,10.36996165,200,52.05176176
09-07-2024 00:53,53.99434219,16,200,51.8970602
09-07-2024 00:54,54.39022428,16,200,51.32147622
09-07-2024 00:55,54.7781538,15.71186983,200,51.81743839
09-07-2024 00:56,55.15803076,15.2407074,200,53.10615536
